surface_id,surface_type,bounded_object,participant_classes,minimum_receipt,candidate_hop_status,forbidden_inference,broad_institution_is_not_a_surface,co_presence_is_not_coordination,graph_effect,publication_status
BIO-S01,Protocol or project approval,"specific approved protocol, amendment, or risk determination",research lead; biosafety officer; named reviewers,protocol identifier; determination; date; roles; public or releasable receipt,conditional,"Approval proves the recorded decision, not safe execution or later compliance.",true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S02,Institutional biosafety or dual-use review,"specific IBC, IRE, DURC, PEPP, or equivalent meeting/determination",named members and accountable officials,agenda or determination; authority; conflicts; date; decision,conditional,Committee membership does not prove knowledge of every activity or effective veto.,true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S03,Grant or funding award,"specific award, supplement, pause, termination, or condition",funding officials; investigators; institution,award notice; terms; dates; risk conditions,conditional,Funding does not prove operational control or endorsement of every method.,true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S04,Material transfer or repository accession,"specific MTA, shipment, accession, release, destruction, or custody event",authorized sender; receiver; custodian,identifier; material class at safe abstraction; dates; custody receipt,normally non-hop,"Custody evidence does not establish misuse, intent, or unsafe handling.",true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S05,Synthesis order and customer review,specific provider order or escalated customer/sequence review,provider decision actors; verified customer representatives,order-class receipt; review outcome; date; policy version,normally non-hop,A flag is not proof of malicious intent; sensitive sequence content is never public.,true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S06,Biofoundry or automated-lab service,"specific service run, contract, access grant, or control decision",provider and customer decision actors,contract or public service record; date; control terms,normally non-hop,Service access does not prove hazardous use.,true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S07,AI model or computational biology access,"specific model release, access programme, evaluation, restriction, or incident",model provider; evaluators; authorized users,version; access terms; evaluation receipt; dates,normally non-hop,Capability evaluation does not prove real-world execution.,true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S08,"Publication, preprint, or repository risk review","specific manuscript, dataset, code release, editorial decision, or staged disclosure",authors; editors; reviewers where public; repository officials,decision record; policy version; dates; disclosure boundaries,conditional,Publication does not prove misuse; undisclosed peer reviewers are not inferred.,true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S09,"Regulatory registration, licence, or inspection","specific registration, inspection, finding, corrective action, or closure",inspectors; accountable facility officials,official record; scope; date; disposition,conditional,Registration or inspection is not a guarantee of compliance outside the examined scope.,true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S10,International transparency or evaluation,"specific BWC CBM, JEE, peer review, workshop output, or national report",official participants and accountable institutions,submission or report; scope; dates; limitations,conditional,Voluntary reporting does not establish completeness or compliance.,true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S11,"Incident, near miss, or outbreak investigation","specific reported exposure, release, anomaly, investigation, or after-action review",reporting officials; investigators; response leads,official incident record; time line; evidence limits; disposition,conditional,An investigation is not attribution unless the record supports attribution.,true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S12,Emergency exercise or response operation,"specific exercise, activation, procurement, manufacturing tranche, or response mission","public-health, logistics, laboratory, medical and government actors",exercise or operation record; roles; dates; after-action findings,conditional,Participation does not prove readiness beyond the tested scenario.,true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S13,"Certification, audit, insurance, or standards assessment","specific certification, audit, accreditation, underwriting, or corrective action",auditors; accredited officials; accountable facility actors,standard/version; scope; date; exceptions,conditional,Certification covers the audited scope and period only.,true,true,none,candidate_only_pending_receipts_security_and_human_review
BIO-S14,Worker or community remedy surface,"specific exposure monitoring, compensation, medical care, grievance, hearing, or remedy",affected representatives; employer; authority; adjudicator,public decision or privacy-preserving aggregate receipt,normally non-hop,Affected-person data are minimized; absence of public record is not absence of injury.,true,true,none,candidate_only_pending_receipts_security_and_human_review
